Name,Position,Footed,Birthdate,Birthdate,Nationality,Club,Non-Penalty Goals,Non-Penalty xG(npxG),Shots Total,Assists,Expected Assisted Goals(xAG),npxG + xAG,Shot-Creating Actions,Passes Attempted,Pass Completion %,Progessive Passes,Progessive Carries,Successful Take-Ons,Touches(Att Pen),Tackles,Interceptions,Blocks,Clearances,Aerials Won
Souffian El Karouani,DF(FB-left),N/A,October 19, 2000,Morocco,Utrecht,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Paxten Aaronson,MF,Right,August 26, 2003,United,Utrecht,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yoann Cathline,MF,Right,July 22, 2002,France,Utrecht,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zidane Iqbal,MF,N/A,April 27, 2003,Iraq,Utrecht,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
David Min,FW,Left,June 23, 1999,Netherlands,Utrecht,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Victor Jensen,FW-MF(CM),Both,February 8, 2000,Denmark,Utrecht,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0232,0.00,0.00
Oscar Fraulo,MF,N/A,December 6, 2003,Denmark,Utrecht,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alonzo Engwanda,MF,N/A,January 27, 2003,Belgium,Utrecht,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miguel Rodríguez,FW,Right,April 29, 2003,Spain,Utrecht,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Niklas Vesterlund,DF-MF,Right,June 6, 1999,Denmark,Utrecht,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sébastien Haller,FW,Right,June 22, 1994,Côte,Utrecht,0.19,0.13,1.12,0.19,9   ,0.21,1.12,21.1,63.7%,0.94,0.94,2.99,4.12,0.37,0.00,0.19,1.31,5.61
Matisse Didden,DF(CB),Right,October 8, 2001,Belgium,Utrecht,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miliano Jonathans,FW,N/A,April 5, 2004,Netherlands,Utrecht,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adrian Blake,FW,N/A,July 15, 2005,England,Utrecht,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kolbeinn Finnsson,DF-MF,N/A,August 25, 1999,Iceland,Utrecht,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Silas Andersen,MF,Right,June 13, 2004,Denmark,BK Häcken,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rafik el Arguioui,MF,N/A,July 31, 2005,Netherlands,Utrecht,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rickson van Hees,DF,N/A,July 21, 2002,Netherlands,Utrecht,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Joshua Mukeh,DF(CB),N/A,September 1, 2003,Netherlands,Utrecht,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sven Mijnans,MF(AM),Left,March 9, 2000,Netherlands,AZ Alkmaar,0.49,0.16,1.59,0.12,43  ,0.34,3.07,47.7,73.3%,6.01,1.35,3.07,6.38,2.82,0.98,1.72,0.86,0.49
Alexandre Penetra,DF(CB),N/A,September 9, 2001,Portugal,AZ Alkmaar,0.00,0.01,0.25,0.00,3   ,0.01,0.38,59.2,85.5%,2.65,0.13,0.63,0.00,1.14,1.26,1.39,5.30,0.63
Peer Koopmeiners,DF-MF(CM-DM),N/A,May 4, 2000,Netherlands,AZ Alkmaar,0.00,0.01,0.40,0.00,66  ,0.11,1.48,51.1,75.0%,4.57,0.54,0.00,1.75,2.02,1.35,1.48,3.77,1.35
Troy Parrott,FW,Right,February 4, 2002,Republic,AZ Alkmaar,0.30,0.29,1.66,0.15,99  ,0.68,3.46,24.9,67.5%,3.76,1.05,4.82,7.68,1.35,0.00,0.90,0.30,1.66
David Møller Wolfe,DF(FB-left),Left,April 23, 2002,Norway,AZ Alkmaar,0.14,0.12,0.43,0.14,78  ,0.27,1.15,47.0,74.8%,4.04,2.60,2.31,4.90,2.60,1.44,1.44,2.60,0.87
Jordy Clasie,MF(AM-CM-DM),Both,June 27, 1991,Netherlands,AZ Alkmaar,0.15,0.10,0.30,0.15,22  ,0.13,2.69,61.4,86.7%,5.97,1.34,0.45,1.49,1.64,1.34,0.90,3.13,0.15
Seiya Maikuma,DF-MF(FB-right),N/A,October 16, 1997,Japan,AZ Alkmaar,0.13,0.09,0.77,0.13,9   ,0.13,2.30,44.8,81.2%,4.60,1.53,1.66,2.55,2.30,1.15,1.28,3.83,1.40
Wouter Goes,DF(CB),N/A,June 10, 2004,Netherlands,AZ Alkmaar,0.00,0.00,0.00,0.00,3   ,0.00,0.60,65.3,91.2%,4.97,1.99,0.00,0.00,1.39,1.19,0.60,4.17,0.20
